JSV_Samam_Granular_Table.csv 3.0 2026-02-19 11:17:31
Global_Rik_Num,Patha_Name,Khanda,Rik_ID,Rik_Text,Rik_Metadata,Global_Samam_Num,Arsheyam_Num,Patha_Num,Samam_Num,Arsheyam_Name,Saman_Metadata
17,आग्नेयपाठः,द्वितीय खण्डः,7,अ(1)श्वन्न(2)त्वा वारा(1) व(2)न्तम् । व(3)न्द(4)ध्याआग्नि(2) न्नामोभिः । स(2)म्म्रा(2)जन्तमाध्वाराणा(1)म् ॥ ७ ॥,।। शुनः शेप आजीर्गितः गायत्र्यग्निः।।,28,20,1,9,॥भार्गवेच॥,।। वारवन्तीयम्। द्वयोः भृगुः शुनश्शेपो वा गायत्र्यग्निः ।।
17,आग्नेयपाठः,द्वितीय खण्डः,7,अ(1)श्वन्न(2)त्वा वारा(1) व(2)न्तम् । व(3)न्द(4)ध्याआग्नि(2) न्नामोभिः । स(2)म्म्रा(2)जन्तमाध्वाराणा(1)म् ॥ ७ ॥,।। शुनः शेप आजीर्गितः गायत्र्यग्निः।।,29,20,1,10,॥भार्गवेच॥,।। वारवन्तीयम्। द्वयोः भृगुः शुनश्शेपो वा गायत्र्यग्निः ।।
17,आग्नेयपाठः,द्वितीय खण्डः,7,,।। शुनः शेप आजीर्गितः गायत्र्यग्निः।।,30,21,1,11,॥अग्नेश्चवारवन्तीयम्॥,
18,आग्नेयपाठः,द्वितीय खण्डः,8,और्वा(2)भृगूवच्छूचिम् । आप्नावा(2)नावादाहु(1)वे । अग्निं(4)सामुद्रावाससम् ॥ ८ ॥,।। प्रयोगो भागर्वः गायत्र्यग्निः।।,31,22,1,12,॥और्वस्यवैधारेस्सामनीद्वे॥,और्वः द्वयोरग्निः गायत्र्यग्निः ।।
18,आग्नेयपाठः,द्वितीय खण्डः,8,और्वा(2)भृगूवच्छूचिम् । आप्नावा(2)नावादाहु(1)वे । अग्निं(4)सामुद्रावाससम् ॥ ८ ॥,।। प्रयोगो भागर्वः गायत्र्यग्निः।।,32,22,1,13,॥और्वस्यवैधारेस्सामनीद्वे॥,और्वः द्वयोरग्निः गायत्र्यग्निः ।।
19,आग्नेयपाठः,द्वितीय खण्डः,9,अ(2)ग्नी(2)मिन्धानो(1) माना(1)सा। धी(1)यं सचेतामा(2)र्त्याः(1) । अ(2)ग्नी(2)मिन्धे वीवा(2)स्वा(1)भिः ॥ ९ ॥,।। प्रयोगो भागर्वः गायत्र्यग्निः।।,33,23,1,14,॥अत्रेश्चासङ्गम्॥,।। आसंगः अत्रिः गायत्र्यग्निः ।।
20,आग्नेयपाठः,द्वितीय खण्डः,10,आदी(2)त्प्रत्ना(2)स्यारे(2)ता(1)सः । ज्योतिः पश्यन्ती वासा(2)रम् । पा(2)रोयातिध्या(4)ते दीवि(2) ॥ १० ॥,।। वत्सः काण्वः गायत्र्यग्निः।।,34,24,1,15,॥प्रजापतेश्चनिधनकामम्॥,।। प्रजापतिर्गायत्र्यग्निः ।।
21,आग्नेयपाठः,तृतीय खण्डः,1,अग्निंवोवृधन्तं । अध्वाराणांपुरूतामं । अच्छानाप्नेसाहा(2)स्वते ॥ १ ॥,।। प्रयोगो भागर्वः गायत्र्यग्निः।।,35,25,1,1,॥सैन्धुक्षितानित्रीणि॥,।। त्रयाणां सिन्धुक्षिगायत्र्यग्निः।।
21,आग्नेयपाठः,तृतीय खण्डः,1,अग्निंवोवृधन्तं । अध्वाराणांपुरूतामं । अच्छानाप्नेसाहा(2)स्वते ॥ १ ॥,।। प्रयोगो भागर्वः गायत्र्यग्निः।।,36,25,1,2,॥सैन्धुक्षितानित्रीणि॥,।। त्रयाणां सिन्धुक्षिगायत्र्यग्निः।।
21,आग्नेयपाठः,तृतीय खण्डः,1,अग्निंवोवृधन्तं । अध्वाराणांपुरूतामं । अच्छानाप्नेसाहा(2)स्वते ॥ १ ॥,।। प्रयोगो भागर्वः गायत्र्यग्निः।।,37,25,1,3,॥सैन्धुक्षितानित्रीणि॥,।। त्रयाणां सिन्धुक्षिगायत्र्यग्निः।।
