   "(\U00000020)"

$  "(\U00000024)"
𑌨𑍀  "(\U00011328\U00011340)"
𑌨𑍀𑌂  "(\U00011328\U00011340\U00011302)"
𑌨𑍀𑌃  "(\U00011328\U00011340\U00011303)"

𑌨𑍁  "(\U00011328\U00011341)"
𑌨𑍁𑌂  "(\U00011328\U00011341\U00011302)"
𑌨𑍂  "(\U00011328\U00011342)"
𑌨𑍂𑌂  "(\U00011328\U00011342\U00011302)"
𑌨𑍃  "(\U00011328\U00011343)"
𑌨𑍇  "(\U00011328\U00011347)"
𑌨𑍋  "(\U00011328\U00011347\U0001133E)"

𑌨𑍈  "(\U00011328\U00011348)"

𑌨𑍍  "(\U00011328\U0001134D)"
𑌨𑍗  "(\U00011328\U00011357)"
𑌪  "(\U0001132A)"
𑌪𑌂  "(\U0001132A\U00011302)"
𑌪𑌾  "(\U0001132A\U0001133E)"
𑌪𑌾𑌂  "(\U0001132A\U0001133E\U00011302)"
𑌪𑌾𑌂𑌃  "(\U0001132A\U0001133E\U00011302\U00011303)"
𑌪𑌾𑌃  "(\U0001132A\U0001133E\U00011303)"
𑌪𑌿  "(\U0001132A\U0001133F)"

𑌪𑍀  "(\U0001132A\U00011340)"

𑌪𑍁  "(\U0001132A\U00011341)"
𑌪𑍁𑌂  "(\U0001132A\U00011341\U00011302)"
𑌪𑍂  "(\U0001132A\U00011342)"
𑌪𑍃  "(\U0001132A\U00011343)"
𑌪𑍄  "(\U0001132A\U00011344)"
𑌪𑍇  "(\U0001132A\U00011347)"
𑌪𑍋  "(\U0001132A\U00011347\U0001133E)"

𑌪𑍈  "(\U0001132A\U00011348)"
𑌪𑍍  "(\U0001132A\U0001134D)"

𑌪𑍗  "(\U0001132A\U00011357)"
𑌪𑍗𑌂  "(\U0001132A\U00011357\U00011302)"
𑌪𑍗𑌃  "(\U0001132A\U00011357\U00011303)"
𑌪𑍢  "(\U0001132A\U00011362)"
𑌫  "(\U0001132B)"
𑌫𑌿  "(\U0001132B\U0001133F)"
𑌫𑍀  "(\U0001132B\U00011340)"
𑌫𑍁  "(\U0001132B\U00011341)"
𑌫𑍂  "(\U0001132B\U00011342)"
𑌫𑍃  "(\U0001132B\U00011343)"
𑌫𑍄  "(\U0001132B\U00011344)"
𑌫𑍇  "(\U0001132B\U00011347)"
𑌫𑍈  "(\U0001132B\U00011348)"
𑌫𑍍  "(\U0001132B\U0001134D)"

𑌫𑍢  "(\U0001132B\U00011362)"
𑌬  "(\U0001132C)"
𑌬𑌾  "(\U0001132C\U0001133E)"
𑌬𑌾𑌂  "(\U0001132C\U0001133E\U00011302)"
𑌬𑌿  "(\U0001132C\U0001133F)"
𑌬𑍀  "(\U0001132C\U00011340)"

𑌬𑍁  "(\U0001132C\U00011341)"
𑌬𑍂  "(\U0001132C\U00011342)"
𑌬𑍃  "(\U0001132C\U00011343)"
𑌬𑍇  "(\U0001132C\U00011347)"
𑌬𑍋  "(\U0001132C\U00011347\U0001133E)"
𑌬𑍈  "(\U0001132C\U00011348)"
𑌬𑍍  "(\U0001132C\U0001134D)"
𑌭  "(\U0001132D)"
𑌭𑌂  "(\U0001132D\U00011302)"
𑌭𑌾  "(\U0001132D\U0001133E)"
𑌭𑌾𑌂  "(\U0001132D\U0001133E\U00011302)"
𑌭𑌾𑌃  "(\U0001132D\U0001133E\U00011303)"
𑌭𑌿  "(\U0001132D\U0001133F)"
𑌭𑌿𑌃  "(\U0001132D\U0001133F\U00011303)"
𑌭𑍀  "(\U0001132D\U00011340)"
𑌭𑍀𑌃  "(\U0001132D\U00011340\U00011303)"
𑌭𑍁  "(\U0001132D\U00011341)"
𑌭𑍁𑌂  "(\U0001132D\U00011341\U00011302)"
𑌭𑍂  "(\U0001132D\U00011342)"
𑌭𑍂𑌂  "(\U0001132D\U00011342\U00011302)"
𑌭𑍃  "(\U0001132D\U00011343)"
𑌭𑍇  "(\U0001132D\U00011347)"
𑌭𑍋  "(\U0001132D\U00011347\U0001133E)"
𑌭𑍍  "(\U0001132D\U0001134D)"
𑌭𑍗  "(\U0001132D\U00011357)"
𑌮  "(\U0001132E)"
𑌮𑌂  "(\U0001132E\U00011302)"
𑌮𑌃  "(\U0001132E\U00011303)"
𑌮𑌾  "(\U0001132E\U0001133E)"
𑌮𑌾𑌂  "(\U0001132E\U0001133E\U00011302)"
𑌮𑌾𑌃  "(\U0001132E\U0001133E\U00011303)"
𑌮𑌿  "(\U0001132E\U0001133F)"
𑌮𑌿𑌂  "(\U0001132E\U0001133F\U00011302)"
𑌮𑍀  "(\U0001132E\U00011340)"
𑌮𑍀𑌂  "(\U0001132E\U00011340\U00011302)"
𑌮𑍁  "(\U0001132E\U00011341)"
𑌮𑍂  "(\U0001132E\U00011342)"
𑌮𑍃  "(\U0001132E\U00011343)"
𑌮𑍇  "(\U0001132E\U00011347)"
𑌮𑍋  "(\U0001132E\U00011347\U0001133E)"

𑌮𑍈  "(\U0001132E\U00011348)"

𑌮𑍍  "(\U0001132E\U0001134D)"
𑌮𑍗  "(\U0001132E\U00011357)"
𑌯  "(\U0001132F)"
𑌯𑌂  "(\U0001132F\U00011302)"
𑌯𑌃  "(\U0001132F\U00011303)"
𑌯𑌾  "(\U0001132F\U0001133E)"
𑌯𑌾𑌂  "(\U0001132F\U0001133E\U00011302)"
𑌯𑌾𑌃  "(\U0001132F\U0001133E\U00011303)"
𑌯𑌿  "(\U0001132F\U0001133F)"
𑌯𑌿𑌂  "(\U0001132F\U0001133F\U00011302)"
𑌯𑍀  "(\U0001132F\U00011340)"
𑌯𑍀𑌂  "(\U0001132F\U00011340\U00011302)"
𑌯𑍁  "(\U0001132F\U00011341)"
𑌯𑍁𑌂  "(\U0001132F\U00011341\U00011302)"
𑌯𑍁𑌃  "(\U0001132F\U00011341\U00011303)"
𑌯𑍂  "(\U0001132F\U00011342)"
𑌯𑍂𑌂  "(\U0001132F\U00011342\U00011302)"
𑌯𑍂𑌃  "(\U0001132F\U00011342\U00011303)"
𑌯𑍃  "(\U0001132F\U00011343)"
𑌯𑍄  "(\U0001132F\U00011344)"
𑌯𑍇  "(\U0001132F\U00011347)"
𑌯𑍋  "(\U0001132F\U00011347\U0001133E)"
𑌯𑍋𑌃  "(\U0001132F\U00011347\U0001133E\U00011303)"
𑌯𑍈  "(\U0001132F\U00011348)"
